,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,student,distillation,temp
0,90.32,90.68,2467.3459381103517,0.49346910625696183,98.152,98.274,286.173517949136,0.057234636335836156,99,ResNet18,KD_CE,100.0
1,90.28,90.68,0.25126367799937727,0.4508279676735401,98.36,98.288,0.032126432532430305,0.04957613742212429,99,ResNet18,KD_CE,1.0
2,90.24,90.68,228784.270390625,0.457568543702364,98.288,98.298,26333.36117577126,0.05266672237645215,83,ResNet18,KD_CE,1000.0
3,90.02,90.68,24.82971594810486,0.4963677078485489,98.334,98.364,2.7223456751202684,0.05423072090996501,78,ResNet18,KD_CE,10.0
4,90.0,90.68,6.059729192256928,0.4835441702604294,98.126,98.334,0.7357773264236462,0.0576652865737791,98,ResNet18,KD_CE,5.0
5,89.41,90.68,663.4547024536133,0.5307629121094942,98.32,98.19,66.70733325133848,0.05336515370356228,78,ResNet18,KD_CE,50.0
6,91.27,90.68,2.5036981623998146e-05,0.47827728882431986,97.696,98.268,1.0377008845778647e-05,0.07366410191254237,99,ResNet18,KD,100.0
7,91.58,90.68,0.028028691010549663,0.29185138814151285,97.432,98.276,0.00725069945014756,0.08887047229139396,187,ResNet18,KD,1.0
8,91.94,90.68,2.1588397373761835e-07,0.4108833722025156,97.98,98.3,8.773589815556297e-08,0.06101224522875703,89,ResNet18,KD,1000.0
9,88.91,90.68,0.002743905029492453,0.6130267284810543,95.192,98.23,0.0013937717206869036,0.1733766994236604,133,ResNet18,KD,10.0
10,91.32,90.68,0.0053823331976309416,0.42601223282516004,97.258,98.224,0.0024795727875760146,0.09200876794488685,195,ResNet18,KD,5.0
11,91.52,90.68,9.257928923034342e-05,0.4311456594616175,97.658,98.158,4.0967046534624714e-05,0.07126005473153671,99,ResNet18,KD,50.0
12,59.03,90.68,6104.0194140625,1.2208037900924682,58.748,98.276,6023.051770300512,1.204610265581809,98,EfficientNetB0,KD_CE,100.0
13,52.95,90.68,9.487546318062306e+27,1.725114174999503e+28,48.238,98.174,0.773477844569994,1.412224061653742,52,EfficientNetB0,KD_CE,1.0
14,55.81,90.68,9.437118149966682e+25,1.8874236446388673e+20,51.63,98.282,671058.7448849105,1.3421174921952854,87,EfficientNetB0,KD_CE,1000.0
15,54.57,90.68,4.157371716436644e+30,8.313979954647726e+28,52.356,98.206,66.40352454026947,1.3277582988104857,89,EfficientNetB0,KD_CE,10.0
16,63.58,90.68,1.2140991233972086e+28,9.67522270127184e+26,58.434,98.176,14.58174666968148,1.164042165974522,99,EfficientNetB0,KD_CE,5.0
17,38.36,90.68,3271635975457.2227,2617307138.0336156,44.262,98.238,2089.143556248501,1.6713139050451995,74,EfficientNetB0,KD_CE,50.0
18,85.64,90.68,409239991541.7609,220558167902.85583,88.8,98.354,4.535009069597501e-05,0.5276860561212311,93,EfficientNetB0,KD,100.0
19,52.98,90.68,592212118002.1233,5921928439951.157,51.006,98.32,0.13103855990083016,1.375740572619621,75,EfficientNetB0,KD,1.0
20,87.5,90.68,4.0322954475868755e-07,0.7113512624800206,90.902,98.294,3.3951311580143565e-07,0.41205339008927955,71,EfficientNetB0,KD,1000.0
21,86.24,90.68,238471411177.66605,28595446659845.113,89.166,98.248,0.0033464035748139672,0.5124654534756375,96,EfficientNetB0,KD,10.0
22,74.27,90.68,,,72.308,98.328,0.026554733086043916,1.3119838596000086,69,EfficientNetB0,KD,5.0
23,85.65,90.68,0.8846357932546379,29.993530512452125,88.212,98.304,0.0001962831088267636,0.5554620011916855,94,EfficientNetB0,KD,50.0
24,88.34,90.68,96387.85267456055,19.27756834089756,94.13,98.252,892.1447556439568,0.17842877635260676,97,MobileNet,KD_CE,100.0
25,87.35,90.68,0.25755313992500306,0.4677710711956024,94.12,98.198,0.09816803289648822,0.17671830275708147,98,MobileNet,KD_CE,1.0
26,80.3,90.68,2395647202275150.0,4791294362.229772,84.682,98.284,232616.4403172954,0.4652328801810589,99,MobileNet,KD_CE,1000.0
27,64.59,90.68,52.15896751403809,1.0429022336006164,63.694,98.324,51.99302540654721,1.0395992718389273,98,MobileNet,KD_CE,10.0
28,85.68,90.68,8.79697993516922,0.7007783433794975,89.374,98.37,4.425639058622862,0.3510842805780718,99,MobileNet,KD_CE,5.0
29,10.04,90.68,42600758.589072265,34080.588943400384,9.948,98.254,2885.799223370564,2.3086383202496696,14,MobileNet,KD_CE,50.0
30,88.39,90.68,3.974095183366444e-05,0.7360963082313537,92.94,98.202,2.573112700715997e-05,0.29854653089705024,98,MobileNet,KD,100.0
31,88.39,90.68,96.39452772000804,964.5981240719557,92.552,98.266,0.01885990231938641,0.22411182162630588,99,MobileNet,KD,1.0
32,90.42,90.68,2.8651301732907085e-07,0.5590230943262577,96.306,98.238,1.468723704929382e-07,0.13072680256060323,99,MobileNet,KD,1000.0
33,88.83,90.68,0.0028042106865905224,0.7009793835878372,93.26,98.218,0.0018377763405561334,0.27718582345396664,99,MobileNet,KD,10.0
34,88.12,90.68,0.010418279566802085,0.7077252024412155,93.468,98.208,0.005026979878654375,0.2593020581642685,99,MobileNet,KD,5.0
35,88.59,90.68,0.00015181747927272226,0.7256522107124329,92.986,98.234,0.00010057323692066362,0.2981707797769238,98,MobileNet,KD,50.0
