,Unnamed: 0,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,layer,student_layer,teacher_layer,student last_layer
0,0,10.06,90.68,4.409159891605377,345.87299896240233,10.0,9.998,0.00033212492242157743,12.940195347037154,20,0.1,False,15,50,128,100,ResNet18,ResNet101,PKT,KD_CE,2,1.0,1.0,"ResNet18,KD_CE"
1,1,8.33,90.68,1.7105624997615814,141.54490783691406,10.0,10.0,0.0003177040786383545,12.943537199893573,20,0.1,False,15,50,128,100,ResNet18,ResNet101,PKT,KD_CE,1,1.0,1.0,"ResNet18,KD_CE"
2,2,9.92,90.68,4.1881277894973765,349.9886492919922,10.0,10.0,0.00025055696376446936,12.96994890032522,20,0.1,False,15,50,128,100,ResNet18,ResNet101,PKT,KD_CE,3,1.0,1.0,"ResNet18,KD_CE"
3,3,8.12,90.68,0.8659277099370957,79.54547996520995,10.0,10.004,0.0004973628431233478,12.939835394739802,20,0.1,False,15,50,128,100,ResNet18,ResNet101,PKT,KD_CE,0,1.0,1.0,"ResNet18,KD_CE"
4,4,8.25,90.68,2.499622823326451,216.3743505781623,10.0,10.0,0.00035031287550695163,12.978363966393044,20,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,2,1.0,1.0,"ResNet18,KD_CE"
5,5,10.21,90.68,0.6173398728203622,43.71872101316028,10.0,10.0,0.004608290894623951,12.970457405080573,20,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,1,1.0,1.0,"ResNet18,KD_CE"
6,6,10.15,90.68,5.3605478478085455,457.04725190180875,10.0,10.0,0.00014281884871583726,12.971247137659955,20,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,3,1.0,1.0,"ResNet18,KD_CE"
7,7,7.9,90.68,4.060998553683044,284.50837600610816,10.0,10.002,0.015668313924099325,12.969503618567192,20,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,0,1.0,1.0,"ResNet18,KD_CE"
8,8,10.95,90.68,0.19672983894302587,14.721684577358756,10.0,10.0,0.0023206208806956555,12.965794343777631,20,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,2,1.0,1.0,"ResNet18,KD_CE"
9,9,10.02,90.68,6.682787697785979,500.14765842705015,10.0,10.0,0.0926320952318056,12.967367161265422,20,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,1,1.0,1.0,"ResNet18,KD_CE"
10,10,8.14,90.68,1.3500151322905425,115.84632922130024,10.0,10.002,0.00010912097062446776,12.977980033211086,20,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,3,1.0,1.0,"ResNet18,KD_CE"
11,11,10.0,90.68,28.25484315872193,1634.011173095703,10.0,10.002,0.5804580703110951,12.943782325900731,20,0.1,False,15,50,128,100,ResNet18,ResNet101,nst_poly,KD_CE,0,1.0,1.0,"ResNet18,KD_CE"
12,12,10.0,90.68,0.10319295778870582,10.690781383514404,10.0,10.0,0.0002904646065862625,12.969593162731746,20,0.1,False,15,50,128,100,ResNet18,ResNet101,att_max,KD_CE,2,1.0,1.0,"ResNet18,KD_CE"
13,13,10.0,90.68,0.11138958580791952,11.90957862854004,10.0,10.0,0.00047592553713530437,12.949524367251971,20,0.1,False,15,50,128,100,ResNet18,ResNet101,att_max,KD_CE,1,1.0,1.0,"ResNet18,KD_CE"
14,14,10.0,90.68,0.7751114732027053,67.35607093811035,10.0,10.0,0.0005725435500242808,12.96689167169049,20,0.1,False,15,50,128,100,ResNet18,ResNet101,att_max,KD_CE,3,1.0,1.0,"ResNet18,KD_CE"
15,15,10.04,90.68,6.989231557846068,540.3856280517579,10.0,10.004,0.00023209064698104015,12.963380418470145,20,0.1,False,15,50,128,100,ResNet18,ResNet101,att_max,KD_CE,0,1.0,1.0,"ResNet18,KD_CE"
16,16,9.77,90.68,0.11252562940120696,13.105024309158326,10.0,10.0,0.0001874868571192569,12.970640553232961,20,0.1,False,15,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,2,1.0,1.0,"ResNet18,KD_CE"
17,17,9.69,90.68,0.4938134536147117,47.552572898864746,10.0,10.0,0.00034342015605292437,12.955544408325038,20,0.1,False,15,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,1,1.0,1.0,"ResNet18,KD_CE"
18,18,10.0,90.68,12.521917953491213,954.6107214355467,10.0,10.0,0.00046992983633016366,12.948986336398306,20,0.1,False,15,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,3,1.0,1.0,"ResNet18,KD_CE"
19,19,10.0,90.68,23.41174620628357,1929.038048095703,10.0,10.0,0.0005136515521366969,12.935296280609677,20,0.1,False,15,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,0,1.0,1.0,"ResNet18,KD_CE"
20,20,10.03,90.68,0.24698213934898375,23.70482462882996,10.002,9.996,0.0009614102261931732,13.320023504974287,20,0.01,False,20,50,128,100,MobileNet,ResNet101,PKT,"KD,T-8",3,55.0,239.0,"MobileNet,KD,T-8"
21,21,10.02,90.68,0.10768156684935093,14.491402807235715,10.0,9.996,0.0010486765387420405,13.303569098567722,20,0.01,False,20,50,128,100,MobileNet,ResNet101,PKT,"KD,T-8",1,15.0,56.0,"MobileNet,KD,T-8"
22,22,10.0,90.68,0.11545086592435835,15.379513082504273,10.0,10.002,0.0016126559408324414,13.248241890421916,20,0.01,False,20,50,128,100,MobileNet,ResNet101,PKT,"KD,T-8",0,6.0,26.0,"MobileNet,KD,T-8"
23,23,10.01,90.68,0.11144701912999153,14.864123620986938,10.002,10.006,0.0007036426633089076,13.3429273278512,20,0.01,False,20,50,128,100,MobileNet,ResNet101,PKT,"KD,T-8",2,26.0,219.0,"MobileNet,KD,T-8"
24,24,10.2,90.68,3086275.00375,14.120906858444213,10.0,10.0,53298.714514066494,13.309327349943276,19,0.01,False,20,50,128,100,MobileNet,ResNet101,hint,"KD,T-8",3,55.0,239.0,"MobileNet,KD,T-8"
25,25,10.61,90.68,179024108503.04,220081.9125,9.998,9.994,22963389.416879795,14.982450275469926,80,0.01,False,20,50,128,100,MobileNet,ResNet101,hint,"KD,T-8",1,15.0,56.0,"MobileNet,KD,T-8"
26,26,10.0,90.68,364308857.6,12.30126545906067,10.0,10.008,1103830200.3069053,13.225638177388769,20,0.01,False,20,50,128,100,MobileNet,ResNet101,hint,"KD,T-8",0,6.0,26.0,"MobileNet,KD,T-8"
27,27,10.0,90.68,535894818816.0,11.448771562576294,10.0,10.01,526990738581.2788,13.259883744027608,20,0.01,False,20,50,128,100,MobileNet,ResNet101,hint,"KD,T-8",2,26.0,219.0,"MobileNet,KD,T-8"
28,28,10.07,90.68,0.08917242035269737,10.445652074813845,9.998,9.998,0.0010566949950652602,13.34327598483971,20,0.01,False,20,50,128,100,MobileNet,ResNet101,nst_linear,"KD,T-8",3,55.0,239.0,"MobileNet,KD,T-8"
29,29,11.08,90.68,0.09512799046933652,10.915607776641846,9.994,9.998,0.000968044076491233,13.411997885350376,20,0.01,False,20,50,128,100,MobileNet,ResNet101,nst_linear,"KD,T-8",1,15.0,56.0,"MobileNet,KD,T-8"
30,30,13.57,90.68,0.1050351010262966,11.524869184494019,10.002,10.004,0.0011917138650841875,13.366107757743974,20,0.01,False,20,50,128,100,MobileNet,ResNet101,nst_linear,"KD,T-8",0,6.0,26.0,"MobileNet,KD,T-8"
31,31,10.05,90.68,0.1062281259149313,13.131700582504273,9.998,10.002,0.0009803500001454519,13.36966157996136,20,0.01,False,20,50,128,100,MobileNet,ResNet101,nst_linear,"KD,T-8",2,26.0,219.0,"MobileNet,KD,T-8"
32,32,10.02,90.68,0.18884054970019945,13.19631093019133,10.0,10.014,0.003720759876522585,13.278786212891871,20,0.01,False,20,50,64,64,MobileNet,ResNet101,nst_poly,"KD,T-8",3,55.0,239.0,"MobileNet,KD,T-8"
33,33,12.52,90.68,0.21971088752150536,8.732340822219847,9.998,10.002,0.00975306005076603,13.410006449960383,20,0.01,False,20,50,128,100,MobileNet,ResNet101,nst_poly,"KD,T-8",1,15.0,56.0,"MobileNet,KD,T-8"
34,34,10.28,90.68,0.9603173530101776,11.883120603561402,10.0,10.002,0.17648601169933748,13.404387827724447,20,0.01,False,20,50,128,100,MobileNet,ResNet101,nst_poly,"KD,T-8",0,6.0,26.0,"MobileNet,KD,T-8"
35,35,10.0,90.68,0.12129786238074305,13.999929304122924,10.0,10.006,0.0029917119471046627,13.224070090467055,20,0.01,False,20,50,128,100,MobileNet,ResNet101,nst_poly,"KD,T-8",2,26.0,219.0,"MobileNet,KD,T-8"
36,36,10.0,90.68,0.13248849593102932,16.817883682250976,10.0,10.004,0.0014668476227146891,13.300156107948869,20,0.01,False,20,50,128,100,MobileNet,ResNet101,att_max,"KD,T-8",3,55.0,239.0,"MobileNet,KD,T-8"
37,37,9.98,90.68,0.10960191249847412,14.596149110794068,10.0,9.992,0.0016566342653354148,13.252083139346386,20,0.01,False,20,50,128,100,MobileNet,ResNet101,att_max,"KD,T-8",1,15.0,56.0,"MobileNet,KD,T-8"
38,38,10.01,90.68,0.11502719551324846,15.500562629699708,10.0,10.004,0.0014393765278651242,13.258657457883402,19,0.01,False,20,50,128,100,MobileNet,ResNet101,att_max,"KD,T-8",0,6.0,26.0,"MobileNet,KD,T-8"
39,39,10.0,90.68,0.10487765699625017,13.964598417282104,10.0,10.006,0.0014459368974670689,13.282181322727055,20,0.01,False,20,50,128,100,MobileNet,ResNet101,att_max,"KD,T-8",2,26.0,219.0,"MobileNet,KD,T-8"
40,40,10.11,90.68,0.11582437194883825,13.405207901000974,10.0,9.998,0.0012457529818305692,13.350297491263854,19,0.01,False,20,50,128,100,MobileNet,ResNet101,att_mean,"KD,T-8",3,55.0,239.0,"MobileNet,KD,T-8"
41,41,10.0,90.68,0.10113451153039932,13.501294097900393,10.0,10.0,0.0018915502855296976,13.251433299325617,20,0.01,False,20,50,128,100,MobileNet,ResNet101,att_mean,"KD,T-8",1,15.0,56.0,"MobileNet,KD,T-8"
42,42,10.05,90.68,0.10191948354244232,13.607390737533569,10.0,9.994,0.0016559109007201307,13.26237461694976,19,0.01,False,20,50,128,100,MobileNet,ResNet101,att_mean,"KD,T-8",0,6.0,26.0,"MobileNet,KD,T-8"
43,43,10.38,90.68,0.08404832810163497,9.248189210891725,10.002,10.004,0.0010853460970539552,13.310985843238928,19,0.01,False,20,50,128,100,MobileNet,ResNet101,att_mean,"KD,T-8",2,26.0,219.0,"MobileNet,KD,T-8"
