,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer
0,37.76,90.68,0.040543413072635856,4.355671692498123,25.59125,25.38875,0.0010836543667130172,6.636118957519531,50,0.01,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",46,239,3
1,48.28,90.68,0.03255525851457179,2.4723744241497183,25.41,25.34,0.0010531443627551198,6.677274746704102,50,0.01,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",23,56,1
2,45.15,90.68,0.03532357396015638,3.0624378300920316,25.47375,25.31,0.001074493308737874,6.6448103515625,50,0.01,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",10,26,0
3,44.44,90.68,0.03571850676796859,2.9803860489326186,25.46125,25.35625,0.001075629950966686,6.666013715362549,50,0.01,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",35,219,2
4,35.78,90.68,1085809.1455696202,3.8057093197786354,25.145,25.34125,35989.002003125,6.407389599609375,50,0.01,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",46,239,3
5,43.46,90.68,20983344.43037975,2.789504033100756,25.4775,25.30625,1938609.626,6.700406450653076,50,0.01,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",23,56,1
6,46.21,90.68,3027139.4588607596,2.807016855553736,25.52,25.43625,191075.2879,6.648745987701416,50,0.01,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",10,26,0
7,35.28,90.68,50291201607.29114,3.940779079364825,25.30375,25.445,2780415338.9056,6.4470542007446285,50,0.01,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",35,219,2
8,19.02,90.68,0.06540259813206105,5.173991161056712,26.825,25.4125,0.030353657326102255,5.006114875984192,0,0.01,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",46,239,3
9,47.3,90.68,0.03984258135285559,2.797930107841009,25.385,25.285,0.0012386822145432233,6.6527238265991215,50,0.01,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",23,56,1
10,44.71,90.68,0.03414721456886847,3.0511510975753207,25.46,25.27375,0.0011894777701236309,6.6691713119506835,50,0.01,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",10,26,0
11,47.08,90.68,0.03301171578844137,2.736013078991371,25.44375,25.36125,0.0012424959757365286,6.656409091186523,50,0.01,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",35,219,2
12,46.38,90.68,0.05009695429615914,2.889265535743373,25.36875,25.29125,0.001607710524694994,6.707811745071411,50,0.01,False,50,50,64,64,ResNet18,ResNet101,nst_poly,"KD,T-8",46,239,3
13,42.72,90.68,0.06548462147954144,4.261746967895122,25.5175,25.38,0.002659656747430563,6.673143593597412,50,0.01,False,50,50,128,128,ResNet18,ResNet101,nst_poly,"KD,T-8",23,56,1
14,46.93,90.68,0.25196478544156764,2.7725944669940805,25.6575,25.54875,0.011637591679394245,6.667636934661865,50,0.01,False,50,50,128,128,ResNet18,ResNet101,nst_poly,"KD,T-8",10,26,0
15,46.84,90.68,0.04552353192356568,2.873926979077013,25.30125,25.365,0.001817532110773027,6.618598921966552,50,0.01,False,50,50,128,128,ResNet18,ResNet101,nst_poly,"KD,T-8",35,219,2
16,43.6,90.68,0.036074212339671355,3.218685204469705,25.4725,25.3875,0.0011194227308034897,6.678866316986084,50,0.01,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",46,239,3
17,43.46,90.68,0.03275195023492922,2.873057510279402,25.33375,25.28,0.0010682665468193591,6.656397657775879,50,0.01,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",23,56,1
18,44.2,90.68,0.040382790060926085,3.655047691321071,25.4375,25.47875,0.0010454687055200338,6.653318360900879,50,0.01,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",10,26,0
19,44.38,90.68,0.03992350663565382,3.5736761304396616,25.4075,25.27375,0.0011473658046685159,6.672304637908936,50,0.01,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",35,219,2
20,46.0,90.68,0.04157794700770438,2.9392178209522104,25.5325,25.35625,0.00117542558349669,6.659293048858642,50,0.01,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",46,239,3
21,48.27,90.68,0.03451876309287699,3.1193354763562167,25.51125,25.43,0.0010883253545500339,6.653491963195801,50,0.01,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",23,56,1
22,45.72,90.68,0.035542230204313616,3.0918842629541325,25.41625,25.34875,0.0010717777541838587,6.647998664855957,50,0.01,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",10,26,0
23,47.31,90.68,0.03551249123543878,2.9524525811400593,25.42375,25.30875,0.0012276935590431095,6.6396865577697755,50,0.01,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",35,219,2
24,36.94,90.68,0.04334614822004415,4.048804772051075,25.40625,25.46125,0.0014970847767777741,6.517278719329834,50,0.01,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",55,239,3
25,39.38,90.68,1.5919555475157272,107.19383361671544,25.31,25.2925,0.0015196990925818682,6.517881237030029,50,0.01,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",15,56,1
26,38.49,90.68,0.03996063797157022,4.409091140650496,25.395,25.245,0.0015299191786907614,6.508855802154541,50,0.01,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",6,26,0
27,39.73,90.68,0.04168677292292631,3.7529150956793678,25.55625,25.4275,0.001516254505608231,6.504817912292481,50,0.01,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",26,219,2
28,33.3,90.68,1224487.9003164556,4.088002081158795,25.27375,25.37,47149.18231875,6.2788920433044435,50,0.01,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",55,239,3
29,33.98,90.68,62492949.26582278,8.782730621627614,25.51625,25.42625,8224726.0912,6.530537295532227,50,0.01,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",15,56,1
30,39.1,90.68,13435012.784810126,3.9123791531671452,25.37,25.36625,2531350.7476,6.493910304260254,50,0.01,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",6,26,0
31,19.07,90.68,62604295466.12658,5.7890823340114155,25.885,25.33875,14293074298.4704,5.721589023590088,50,0.01,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",26,219,2
32,17.74,90.68,0.06413348797190038,5.1901659784437735,26.7925,25.31375,0.01271106623634696,5.168342561340332,0,0.01,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",55,239,3
33,37.4,90.68,0.04513882506120054,4.9469656340683565,25.43625,25.345,0.0017391460157930852,6.533741154479981,50,0.01,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",15,56,1
34,38.74,90.68,0.06146776940249189,4.587020946454398,25.59,25.43125,0.0018689192214980722,6.489038311767578,50,0.01,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",6,26,0
35,38.15,90.68,0.04101122128246706,3.6726190379903287,25.50875,25.2625,0.0018022574976086616,6.511889746856689,50,0.01,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",26,219,2
36,40.63,90.68,0.18023150822349415,13.023394367497438,25.485,25.41,0.002237209166586399,6.544972564315796,50,0.01,False,50,50,64,64,MobileNet,ResNet101,nst_poly,"KD,T-8",55,239,3
