,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,layer
0,50.77,90.68,42.97124565124512,1.342221269607544,48.256,98.19,44.91727978250255,1.4029987013858298,99,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,KD_CE,4
1,58.75,90.68,36.721675395965576,1.1469627052545548,54.854,98.352,40.1065352652079,1.252694476291042,99,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,KD_CE,3
2,66.7,90.68,30.555812892913817,0.9543136292696,69.712,98.286,27.547619665980033,0.8603275214009882,99,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,KD_CE,5
3,78.02,90.68,21.551664686203004,0.6730824142694474,80.482,98.196,18.46162815045213,0.5764992981005812,99,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,KD_CE,2
4,90.97,90.68,14.692529319957563,0.4577177782679439,98.048,98.262,1.9678171837649991,0.06011393947926972,93,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,4
5,87.09,90.68,14.803621167589904,0.46164868866941733,90.614,98.204,9.361885987736684,0.2915936910006625,97,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,3
6,90.78,90.68,14.093306650022033,0.4399613639351669,98.13,98.308,1.942503846524393,0.06022610410076121,87,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,5
7,61.56,90.68,36.26057340536907,1.1311027320327274,58.984,98.23,36.62023683094308,1.1424343684292815,99,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,2
8,60.67,90.68,36.77523577041626,1.1460803654313088,59.002,98.226,35.32429249519348,1.1008270076584816,94,0.1,False,100,50,8,8,ResNet18,ResNet101,nst_gauss,KD_CE,4
9,9.97,90.68,93.50169868164062,2.92448756980896,10.32,98.174,74.49758041931152,2.329481031322479,99,0.1,False,100,50,8,8,ResNet18,ResNet101,nst_gauss,KD_CE,3
10,50.22,90.68,,1.2943101914644242,51.358,98.248,,1.291697458486557,93,0.1,False,100,50,8,8,ResNet18,ResNet101,nst_gauss,KD_CE,5
11,10.44,90.68,89.06476191711425,2.7856903261184693,9.982,98.268,74.48666273742676,2.327753409976959,99,0.1,False,100,50,8,8,ResNet18,ResNet101,nst_gauss,KD_CE,2
12,84.86,90.68,16.000842556072648,0.49821389779733244,89.944,98.286,9.632906218928754,0.2992527023710482,96,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,4
13,85.35,90.68,15.120374172356478,0.46812091539999484,86.524,98.246,13.091065100086924,0.4049126518047069,99,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,3
14,84.27,90.68,16.620577869901233,0.5190217974269467,86.566,98.27,13.140196569740315,0.4102450411414246,97,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,5
15,84.72,90.68,17.159003620147704,0.501961669921875,87.982,98.288,11.877119276529688,0.3507335213825221,95,0.1,False,100,50,128,100,ResNet18,ResNet101,nst_poly,KD_CE,2
16,89.67,90.68,13.788885345458985,0.4304837213456631,97.998,98.256,1.9966310803275888,0.06194932152614798,96,0.1,False,100,50,128,100,ResNet18,ResNet101,att_max,KD_CE,4
17,89.57,90.68,16.90009826183319,0.5276359003782273,98.398,98.31,1.6529963662671616,0.05123100427153242,86,0.1,False,100,50,128,100,ResNet18,ResNet101,att_max,KD_CE,3
18,88.36,90.68,20.52482394695282,0.6386803537607193,97.944,98.262,2.0846495320043905,0.06245279638692165,93,0.1,False,100,50,128,100,ResNet18,ResNet101,att_max,KD_CE,5
19,89.59,90.68,15.78274393081665,0.4927814611792564,98.026,98.254,1.9241207432373406,0.05973201980361777,84,0.1,False,100,50,128,100,ResNet18,ResNet101,att_max,KD_CE,2
20,77.4,90.68,21.950830869674682,0.6852779310941696,79.72,98.2,19.10695206234827,0.5964470653582716,99,0.1,False,100,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,4
21,80.93,90.68,19.17288061141968,0.5987355560064316,84.22,98.18,15.04187960027124,0.46964738618992175,99,0.1,False,100,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,3
22,54.8,90.68,44.32429229736328,1.3819472301006317,57.856,98.28,37.61776702178409,1.1722217417129166,99,0.1,False,100,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,5
23,46.06,90.68,47.243713569641116,1.4756709337234497,42.506,98.234,49.6374709185432,1.550457673304526,99,0.1,False,100,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,2
