,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,epochs,train_batch_size,test_batch_size,student,teacher,distillation,resume
0,10.0,90.68,691168.826875,138.23376403808595,100.0,25.37125,0.044053239944577216,0.0,50,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-100",True
1,10.0,90.68,2.207394696474075,4.024820339679718,100.0,25.29875,0.12975068409442903,0.07205366834402084,50,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-1",True
2,10.0,90.68,14638424.75,29.276849498748778,100.0,25.41375,4.152636625076411e-06,0.0,50,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-1000",True
3,10.0,90.68,563.2458148193359,11.264422159194947,100.0,25.26125,0.00916840997338295,2.0725680887699127e-05,50,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-10",True
4,10.0,90.68,108.87750717163085,8.705320434570313,100.0,25.2225,0.027239172640442847,0.00031068068742752075,50,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-5",True
5,10.0,90.68,2372708.725,1898.165361328125,100.0,25.31125,1.8262458459854125,0.0,50,0.01,50,128,100,ResNet18,ResNet101,"KD_CE,T-50",True
6,43.65,90.68,0.00045978383684996515,3.1458133840560913,25.19625,25.32625,8.00213060938404e-06,6.78999955368042,50,0.01,50,128,100,ResNet18,ResNet101,"KD,T-100",True
7,46.76,90.68,0.17542940318584443,1.8838268780708314,25.70875,25.2575,0.015824142660200595,4.7160883804321285,50,0.01,50,128,100,ResNet18,ResNet101,"KD,T-1",True
8,41.86,90.68,4.278491473996837e-06,3.5791319274902342,25.24875,25.3325,7.737447212434745e-08,6.774877140045166,50,0.01,50,128,100,ResNet18,ResNet101,"KD,T-1000",True
9,46.78,90.68,0.02511221816763282,2.6275310742855074,25.27625,25.41625,0.0007205928690265864,6.687054948425293,50,0.01,50,128,100,ResNet18,ResNet101,"KD,T-10",True
10,45.23,90.68,0.06351354155689477,2.565291123390198,25.59,25.40625,0.0023315857626497747,6.514810777282714,50,0.01,50,128,100,ResNet18,ResNet101,"KD,T-5",True
11,45.65,90.68,0.0014967961696675048,3.415006673336029,25.34875,25.455,3.290102889004629e-05,6.77341907119751,50,0.01,50,128,100,ResNet18,ResNet101,"KD,T-50",True
12,10.0,90.68,19548137241929.36,3909626998.5448875,100.0,25.40125,2.1073036262512206,0.0,50,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-100",True
13,10.0,90.68,8923.006067590713,16228.403630537987,100.0,25.335,0.13145792449712754,0.07205773422718048,50,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-1",True
14,10.0,90.68,24602496.74,49.20499374389649,100.0,25.3675,7.393813567614416e-06,0.0,13,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-1000",True
15,10.0,90.68,12284.022103881836,245.6610493850708,100.0,25.1875,0.009248469783365727,2.0637235045433043e-05,50,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-10",True
16,10.0,90.68,112.28108848571777,8.977426528930664,100.0,25.39875,0.02743837383687496,0.0003089740037918091,50,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-5",True
17,10.0,90.68,22496157539.95875,17996807.05623535,100.0,25.4825,2.1535380199432375,0.0,50,0.01,50,128,100,MobileNet,ResNet101,"KD_CE,T-50",True
18,35.47,90.68,0.00046257865527877585,4.183645422458649,25.34,25.41,1.0836027310870122e-05,6.705773288726807,50,0.01,50,128,100,MobileNet,ResNet101,"KD,T-100",True
19,37.92,90.68,0.2681610305607319,2.8003754806518555,25.5875,25.41875,0.020610288386046886,4.216704585266113,50,0.01,50,128,100,MobileNet,ResNet101,"KD,T-1",True
20,41.03,90.68,4.211995046716766e-06,3.4360401678085326,25.18875,25.4575,1.0723754223818105e-07,6.719395599365234,50,0.01,50,128,100,MobileNet,ResNet101,"KD,T-1000",True
21,35.36,90.68,0.049485555421561,7.071129822731018,25.215,25.2875,0.000996045776363462,6.565765913391114,50,0.01,50,128,100,MobileNet,ResNet101,"KD,T-10",True
22,41.23,90.68,0.06909316889941693,3.4454689812660217,25.35375,25.515,0.003235184561088681,6.335182640838623,50,0.01,50,128,100,MobileNet,ResNet101,"KD,T-5",True
23,37.36,90.68,0.0018453381094150245,4.8482039403915405,25.2825,25.40125,4.545035664341412e-05,6.693934726715088,50,0.01,50,128,100,MobileNet,ResNet101,"KD,T-50",True
