,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer,transform,dataset,exp_name
0,89.23,93.94,0.014622158264812035,1.333849795256989,94.788,99.916,0.009241109004106058,0.4169374452641858,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",6,26,0,"none,",GAN-Dataset,GAN_exp
1,89.08,93.94,0.01452567962976762,1.3384133747106866,95.008,99.878,0.009136245730082931,0.3895886240436522,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",15,56,1,"none,",GAN-Dataset,GAN_exp
2,89.28,93.94,0.01505710743367672,1.3324891064740434,94.722,99.908,0.00969653300788549,0.4119185610624302,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",26,219,2,"none,",GAN-Dataset,GAN_exp
3,89.47,93.94,0.019472574956620796,1.3312160972552964,95.1,99.906,0.014002133129864855,0.3780754583523325,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",55,239,3,"none,",GAN-Dataset,GAN_exp
4,89.33,93.94,0.014183380417054213,1.3090746274477318,94.878,99.9,0.009140405923013796,0.40557631765923385,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",6,26,0,"none,",GAN-Dataset,GAN_exp
5,89.41,93.94,0.014428232077367698,1.3052804381409777,94.964,99.93,0.009247255997489328,0.39086645803488124,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",15,56,1,"none,",GAN-Dataset,GAN_exp
6,89.36,93.94,0.015397345570588037,1.306150372647032,94.88,99.898,0.009971308152732032,0.3998481723982507,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",26,219,2,"none,",GAN-Dataset,GAN_exp
7,89.93,93.94,0.026085125777540328,1.2710099435305293,95.198,99.9,0.021218155270151775,0.36223975291756716,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",55,239,3,"none,",GAN-Dataset,GAN_exp
8,89.69,93.94,71.42113543160355,1.3323083991491342,95.292,99.894,68.64276981597666,0.37362140059814125,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",6,26,0,"none,",GAN-Dataset,GAN_exp
9,90.48,93.94,177.907764676251,1.1758073292955566,96.088,99.912,160.94710628577815,0.29279731629926076,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",15,56,1,"none,",GAN-Dataset,GAN_exp
10,70.72,93.94,42745.223261965984,3.142542332033568,71.466,99.918,34009.56406911865,2.7192104978634575,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",26,219,2,"none,",GAN-Dataset,GAN_exp
11,15.6,93.94,12082.988565227653,12.014703823041312,29.398,99.902,8156.249208274705,4.486177456043565,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",55,239,3,"none,",GAN-Dataset,GAN_exp
12,88.81,93.94,0.03575022091876857,1.4246145596232596,94.522,99.904,0.024998848024003036,0.4389016937150065,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",6,26,0,"none,",GAN-Dataset,GAN_exp
13,89.89,93.94,0.02519112417497967,1.211492884385435,94.942,99.9,0.018934343762867286,0.3977053783395711,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",15,56,1,"none,",GAN-Dataset,GAN_exp
14,89.22,93.94,0.020776717864637133,1.3531083464622498,94.898,99.912,0.014158751534493377,0.40729695952990475,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",26,219,2,"none,",GAN-Dataset,GAN_exp
15,88.96,93.94,0.022358051159336596,1.3511263833770268,94.704,99.916,0.015853036175984554,0.42205148697128075,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",55,239,3,"none,",GAN-Dataset,GAN_exp
16,88.92,93.94,0.015259324844124952,1.350472378579876,94.882,99.922,0.00908042911721198,0.3938951976787861,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",6,26,0,"none,",GAN-Dataset,GAN_exp
17,89.41,93.94,0.01416341836646765,1.3639996908133543,95.01,99.898,0.00884847755274733,0.3892198668702332,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",15,56,1,"none,",GAN-Dataset,GAN_exp
18,88.96,93.94,0.014803446157352079,1.3473016363155992,94.702,99.912,0.009298533751436359,0.4229572291397835,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",26,219,2,"none,",GAN-Dataset,GAN_exp
19,88.43,93.94,0.015640309882126276,1.4210352131837531,94.676,99.892,0.009253087619086131,0.4200980874669293,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",55,239,3,"none,",GAN-Dataset,GAN_exp
20,92.95,93.94,0.006863756034570404,0.7743453662606734,99.064,99.906,0.0031238578151568503,0.0434416162896344,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",10,26,0,"none,",GAN-Dataset,GAN_exp
21,93.02,93.94,0.006922675376239268,0.7605161885671978,99.068,99.91,0.003222126793592711,0.045741942151725924,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",23,56,1,"none,",GAN-Dataset,GAN_exp
22,93.33,93.94,0.006515882726570096,0.7012438982536521,98.966,99.916,0.0035363630126075594,0.052924269715638454,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",35,219,2,"none,",GAN-Dataset,GAN_exp
23,93.16,93.94,0.008933128842117288,0.7307605941461611,99.182,99.892,0.005330857145540473,0.03687585074328901,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",46,239,3,"none,",GAN-Dataset,GAN_exp
24,92.96,93.94,0.007124376341794865,0.8034888226774675,98.978,99.894,0.003268605601899993,0.052062041934846384,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",10,26,0,"none,",GAN-Dataset,GAN_exp
25,93.12,93.94,0.006978048265121783,0.7823060141711295,99.028,99.906,0.0032785670204169078,0.04930243894185089,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",23,56,1,"none,",GAN-Dataset,GAN_exp
26,93.09,93.94,0.007212090641967481,0.793201331473604,99.058,99.904,0.0037013847509499097,0.04481049380241357,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",35,219,2,"none,",GAN-Dataset,GAN_exp
27,93.29,93.94,0.0126453668610016,0.726602308263507,99.266,99.898,0.009100228498030044,0.032012049099662675,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",46,239,3,"none,",GAN-Dataset,GAN_exp
28,92.83,93.94,11.553602653213694,0.7440625255620932,99.074,99.892,10.896636394588539,0.04157036267589573,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",10,26,0,"none,",GAN-Dataset,GAN_exp
29,93.26,93.94,49.894059000135975,0.7468847887048239,99.36,99.918,45.897886954305115,0.02879907221913271,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",23,56,1,"none,",GAN-Dataset,GAN_exp
30,65.99,93.94,17732.76790879648,3.478962155837047,66.726,99.894,13863.296954611073,2.947561144523913,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",35,219,2,"none,",GAN-Dataset,GAN_exp
31,30.54,93.94,13092.406508554386,3.300843994828719,27.934,99.89,8793.44805872105,3.6899086490006705,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",46,239,3,"none,",GAN-Dataset,GAN_exp
32,93.27,93.94,0.010657390785886895,0.7548431996020335,99.114,99.918,0.00647030793763983,0.041942853381133176,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",10,26,0,"none,",GAN-Dataset,GAN_exp
33,93.21,93.94,0.011458773248463491,0.7852798458896105,98.738,99.902,0.006813516715289,0.0669188852915588,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",23,56,1,"none,",GAN-Dataset,GAN_exp
34,93.46,93.94,0.008474190754792358,0.6971722450814669,99.194,99.92,0.004912653635434635,0.03775685620738518,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",35,219,2,"none,",GAN-Dataset,GAN_exp
