,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,batch_size,student,teacher,transform,dataset,exp_name,distillation,last_layer,student_layer,teacher_layer,layer
0,16.64,93.94,0.22200623154640198,15.844101012507572,22.83278067266698,22.548555187115113,0.0009801247859176135,5.7385993437333545,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,att_max,KD,6,26,0
1,13.87,93.94,0.22008570896673807,15.710865588127811,22.16958787304595,21.26954050213169,0.0009964515515038688,5.761103427771366,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,att_max,KD,15,56,1
2,15.6,93.94,0.21199125466467458,14.43140020249765,21.64850781620085,21.932733301752723,0.001067032157372909,5.750091422687877,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,att_max,KD,26,219,2
3,14.1,93.94,0.2386697732572314,15.918581721148913,21.932733301752723,21.743249644718144,0.001620694352878314,5.7419225230361475,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,att_max,KD,55,239,3
4,14.93,93.94,0.22127009136012837,16.079119706455664,22.71435338702037,21.43533870203695,0.0009707696171420994,5.691040096860943,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,att_mean,KD,6,26,0
5,16.93,93.94,0.21603412718712528,15.2716593923448,21.814306016106112,21.60113690194221,0.00100925630205452,5.860024842348966,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,att_mean,KD,15,56,1
6,16.11,93.94,0.2226243541587757,15.982591785962068,21.790620558976787,22.33538607295121,0.0011593157806518402,5.778264204661052,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,att_mean,KD,26,219,2
7,16.46,93.94,0.25136154720300363,14.012283180333391,22.311700615821884,22.193273330175273,0.0028614358920039554,5.689667354930531,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,att_mean,KD,55,239,3
8,15.21,93.94,189.36493171015871,13.83118649977672,22.406442444339177,21.766935101847466,24.054272680571586,5.772104769042044,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,hint,KD,6,26,0
9,17.92,93.94,643.4397482570214,10.589143209819552,22.193273330175273,22.193273330175273,59.267848737312086,5.804482431122751,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,hint,KD,15,56,1
10,19.25,93.94,50393.88177258455,12.825989686990086,21.411653244907626,22.027475130270012,115.60251339999112,5.776751792792118,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,hint,KD,26,219,2
11,13.8,93.94,31540.560878850236,15.363141518604907,22.406442444339177,21.932733301752723,0.1402908285910433,5.512810172456684,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,hint,KD,55,239,3
