,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer,transform,dataset,exp_name
0,87.16,93.94,0.019017274031722094,1.077897168790238,88.15,90.648,0.00887726300069705,0.8311658100703793,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",6,26,0,"noise,0.1","cifar10,",noise/0.1
1,87.61,93.94,0.018348806738098966,1.0284441019160837,88.272,90.654,0.008999118133617178,0.816178150951405,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",15,56,1,"noise,0.1","cifar10,",noise/0.1
2,87.1,93.94,0.01988331079954588,1.0676559077788004,88.142,90.63,0.00918926681389513,0.8386572849224595,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",26,219,2,"noise,0.1","cifar10,",noise/0.1
3,87.46,93.94,0.023734633610407008,1.0495261680099028,88.24,90.682,0.012695479180539966,0.8224200182939734,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",55,239,3,"noise,0.1","cifar10,",noise/0.1
4,86.76,93.94,0.020557704063344607,1.1022341888916642,88.202,90.622,0.008981652248202993,0.8229323999808572,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",6,26,0,"noise,0.1","cifar10,",noise/0.1
5,87.63,93.94,0.018592404791071444,1.0329340100288391,88.16,90.788,0.009008888129021049,0.8218453561939547,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",15,56,1,"noise,0.1","cifar10,",noise/0.1
6,87.07,93.94,0.0213066530708648,1.075927916206891,87.992,90.546,0.009373367898633031,0.8326254972945089,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",26,219,2,"noise,0.1","cifar10,",noise/0.1
7,87.76,93.94,0.03120070002690146,1.0216848144802866,87.828,90.622,0.019817333287366515,0.8488329552171175,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",55,239,3,"noise,0.1","cifar10,",noise/0.1
8,87.19,93.94,84.01174337652665,1.040306939543048,87.972,90.586,74.79946269159731,0.8362845235011157,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",6,26,0,"noise,0.1","cifar10,",noise/0.1
9,88.12,93.94,236.1482843326617,0.9933632163307334,88.24,90.778,154.11204930766465,0.8299326435531802,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",15,56,1,"noise,0.1","cifar10,",noise/0.1
10,74.53,93.94,46342.03332519531,2.350156455100337,76.976,90.796,8956.787024924823,1.9292773906227267,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",26,219,2,"noise,0.1","cifar10,",noise/0.1
11,18.94,93.94,22015.156728213347,3.8218838142443308,23.654,90.652,2794.366756995316,4.426303184855625,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",55,239,3,"noise,0.1","cifar10,",noise/0.1
12,87.58,93.94,0.04600780603440502,1.0143473167208177,87.784,90.606,0.026154951094780738,0.8515886181150861,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",6,26,0,"noise,0.1","cifar10,",noise/0.1
13,87.92,93.94,0.032386200101692464,0.9907790426212021,88.392,90.546,0.017629802815349357,0.8268454929294489,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",15,56,1,"noise,0.1","cifar10,",noise/0.1
14,88.06,93.94,0.02595656841427465,0.9563814171507389,88.308,90.698,0.01296691802780494,0.8244397520561657,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",26,219,2,"noise,0.1","cifar10,",noise/0.1
15,87.12,93.94,0.027975204341773745,1.0750555407397355,88.004,90.66,0.015645547762818044,0.8500868403317069,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",55,239,3,"noise,0.1","cifar10,",noise/0.1
16,86.45,93.94,0.019957593783641918,1.1725102557411677,87.91,90.398,0.00890277621224332,0.8586595224602448,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",6,26,0,"noise,0.1","cifar10,",noise/0.1
17,86.4,93.94,0.02023562409360952,1.194991495790361,88.138,90.526,0.009039094683516513,0.824282032449532,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",15,56,1,"noise,0.1","cifar10,",noise/0.1
18,87.28,93.94,0.018492406234145164,1.0179716243019588,88.04,90.628,0.008812031581226136,0.8374821037587608,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",26,219,2,"noise,0.1","cifar10,",noise/0.1
19,86.96,93.94,0.01952579824984828,1.1246831888639475,87.988,90.5,0.008750958590889755,0.8319843583323462,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",55,239,3,"noise,0.1","cifar10,",noise/0.1
20,91.43,93.94,0.007839601050732257,0.6468867667113678,89.978,90.514,0.0040457567957508595,0.6263606363092847,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",10,26,0,"noise,0.1","cifar10,",noise/0.1
21,90.96,93.94,0.008038225406898728,0.7245045113789884,89.994,90.47,0.004189285281759775,0.6143622752421957,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",23,56,1,"noise,0.1","cifar10,",noise/0.1
22,91.89,93.94,0.007244332145333667,0.609600160318085,90.116,90.608,0.004194806116130536,0.617031317652034,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",35,219,2,"noise,0.1","cifar10,",noise/0.1
23,91.81,93.94,0.010007615106864065,0.5993196914279009,89.744,90.522,0.006100764532652124,0.6222080958773718,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",46,239,3,"noise,0.1","cifar10,",noise/0.1
