,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer,transform,dataset,exp_name
0,88.77,93.94,0.015079683836408054,1.3952084591117087,94.672,99.886,0.009205827420420202,0.4134421280640013,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",6,26,0,"none,","cifar10,",las
1,89.1,93.94,0.014359462805846823,1.2793131448045563,94.698,99.884,0.009394850798637208,0.4169100637802535,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",15,56,1,"none,","cifar10,",las
2,89.04,93.94,0.015526598684866971,1.3528836444963384,94.832,99.908,0.00936019827571252,0.3951538912285015,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",26,219,2,"none,","cifar10,",las
3,89.46,93.94,0.01944063790142536,1.298690149301215,95.106,99.906,0.014022660408350056,0.38556746045684875,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",55,239,3,"none,","cifar10,",las
4,89.5,93.94,0.01518799596808002,1.347961102105394,94.724,99.88,0.009324537307891014,0.4083362595199624,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",6,26,0,"none,","cifar10,",las
5,89.31,93.94,0.014697270762599721,1.3202710921251322,95.008,99.878,0.009293051149524615,0.3877046655653916,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",15,56,1,"none,","cifar10,",las
6,88.59,93.94,0.015861630982047396,1.3865732829782027,94.924,99.912,0.01016514718322955,0.40106221754342086,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",26,219,2,"none,","cifar10,",las
7,90.2,93.94,0.0258793107740864,1.2140566419951524,95.38,99.906,0.020955045195415502,0.3338983926560034,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",55,239,3,"none,","cifar10,",las
8,89.5,93.94,70.39520282986798,1.2992397350601004,95.136,99.914,67.8007936209364,0.3844859592254509,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",6,26,0,"none,","cifar10,",las
9,90.62,93.94,175.71830981290793,1.1336830722380289,96.138,99.91,160.66028409601782,0.28300831627929607,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",15,56,1,"none,","cifar10,",las
10,73.12,93.94,43122.02057889142,3.1723150467570824,73.882,99.91,36428.96478786615,2.4716899504746928,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",26,219,2,"none,","cifar10,",las
11,11.17,93.94,12652.499678985982,10.841169188294229,27.802,99.918,7571.263283466134,4.481026715329846,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",55,239,3,"none,","cifar10,",las
12,88.5,93.94,0.035985876511358005,1.3705398530899724,94.452,99.9,0.025382314472818922,0.4435082153819711,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",6,26,0,"none,","cifar10,",las
13,89.55,93.94,0.02571919803283637,1.2807404349876355,95.02,99.886,0.01884265425746017,0.3871757482771602,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",15,56,1,"none,","cifar10,",las
14,89.52,93.94,0.020173800696583487,1.2688959538936615,94.874,99.904,0.014188600427773602,0.3964710612507427,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",26,219,2,"none,","cifar10,",las
15,90.33,93.94,0.020946800331526166,1.1883651433111746,94.8,99.89,0.01567207885396374,0.4162919290430482,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",55,239,3,"none,","cifar10,",las
16,88.83,93.94,2.7144224040115934,1.3893598061573655,94.994,99.91,1.3557566913497416,0.39826779878314805,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_poly,"KD,T-8",6,26,0,"none,","cifar10,",las
17,90.49,93.94,0.11592240301491338,1.2068263301743736,95.966,99.92,0.06181729407719029,0.3109907891001085,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_poly,"KD,T-8",15,56,1,"none,","cifar10,",las
18,85.92,93.94,0.18983444694099547,1.7279943982257118,90.794,99.912,0.1683043253743816,0.7832562303375405,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_poly,"KD,T-8",26,219,2,"none,","cifar10,",las
19,86.58,93.94,0.03996638826365712,1.5659162583230417,91.156,99.918,0.028403851027359896,0.759628613700952,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_poly,"KD,T-8",55,239,3,"none,","cifar10,",las
20,89.22,93.94,0.01439994108521297,1.3045844065992138,94.81,99.888,0.009154143532418915,0.4159642497501562,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",6,26,0,"none,","cifar10,",las
21,89.35,93.94,0.013769713012336553,1.2917084486424169,94.774,99.91,0.009017891835306992,0.4045149449954557,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",15,56,1,"none,","cifar10,",las
22,88.79,93.94,0.014528901139392128,1.3518228613877599,94.54,99.908,0.0094269019792147,0.42426204905295006,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",26,219,2,"none,","cifar10,",las
23,89.61,93.94,0.014789539908023574,1.3295865654945374,94.856,99.914,0.009167968112108347,0.4039323029949156,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",55,239,3,"none,","cifar10,",las
24,93.0,93.94,0.006939180637415074,0.7465245995340468,99.036,99.918,0.0031309199389641927,0.046483104331585604,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",10,26,0,"none,","cifar10,",las
25,92.91,93.94,0.007030573266829493,0.7931241335559495,98.93,99.898,0.0033642933912375167,0.05393701457582852,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",23,56,1,"none,","cifar10,",las
26,93.27,93.94,0.006877253221088573,0.7336497131404998,99.028,99.864,0.0034455874746622483,0.04912482802827588,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",35,219,2,"none,","cifar10,",las
27,93.29,93.94,0.008950530734101805,0.7216868821201445,99.194,99.898,0.005458242195608366,0.03569782932382434,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",46,239,3,"none,","cifar10,",las
28,92.56,93.94,0.007214248510478418,0.845154499894456,98.972,99.892,0.003202361865755161,0.048462680866108145,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",10,26,0,"none,","cifar10,",las
29,93.14,93.94,0.006816769198549888,0.7617347109355505,99.032,99.918,0.0032579303663128707,0.04955511174969794,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",23,56,1,"none,","cifar10,",las
30,92.65,93.94,0.007826904772156024,0.8556139152261275,99.054,99.908,0.0036468029491450935,0.0458231371781051,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",35,219,2,"none,","cifar10,",las
31,93.47,93.94,0.01289648365795235,0.69198670200532,99.204,99.89,0.009162043361826931,0.03492534201612453,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",46,239,3,"none,","cifar10,",las
32,92.9,93.94,11.29026425035694,0.7761658093644471,99.196,99.886,10.877573835270484,0.037297832761833724,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",10,26,0,"none,","cifar10,",las
33,93.39,93.94,50.914506550076645,0.7432513698181019,99.352,99.924,46.14249236748346,0.02969505275329313,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",23,56,1,"none,","cifar10,",las
34,63.59,93.94,30623.431877039657,4.019092795215076,66.554,99.912,13245.743317977242,2.9715076922760595,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",35,219,2,"none,","cifar10,",las
35,30.65,93.94,13227.54394927206,4.058173526691485,30.12,99.912,8550.86583563373,3.898460479648522,50,0.001,False,50,50,128,128,ResNet18,ResNet101,hint,"KD,T-8",46,239,3,"none,","cifar10,",las
36,92.89,93.94,0.010839790801364409,0.7737585338233393,99.056,99.898,0.00638169284357363,0.04578919626504887,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",10,26,0,"none,","cifar10,",las
37,92.82,93.94,0.011456993703223482,0.8083973921175245,98.982,99.916,0.006564594968400724,0.053121020264156604,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",23,56,1,"none,","cifar10,",las
38,93.76,93.94,0.008430285296768328,0.6920160661581196,99.204,99.906,0.0049053246591268754,0.03824177440083193,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",35,219,2,"none,","cifar10,",las
39,92.74,93.94,0.011669489478433057,0.7838426396439347,99.008,99.906,0.00676632790214113,0.048114111206953976,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_linear,"KD,T-8",46,239,3,"none,","cifar10,",las
40,92.54,93.94,0.5011719525614872,0.8024702693654012,99.096,99.896,0.209838455023668,0.04165862914850064,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_poly,"KD,T-8",10,26,0,"none,","cifar10,",las
41,93.24,93.94,0.03394067268582839,0.7356629962502401,99.246,99.926,0.0174959494834742,0.03633286102253305,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_poly,"KD,T-8",23,56,1,"none,","cifar10,",las
42,86.85,93.94,0.11727285833109784,1.5324253605890878,93.834,99.912,0.07008366009977925,0.3966543580431615,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_poly,"KD,T-8",35,219,2,"none,","cifar10,",las
43,91.0,93.94,0.027649344487375098,1.0062962544115284,96.566,99.928,0.01639702626030006,0.20095317857444187,50,0.001,False,50,50,128,128,ResNet18,ResNet101,nst_poly,"KD,T-8",46,239,3,"none,","cifar10,",las
44,92.88,93.94,0.0069063523477768595,0.7867328118108496,99.078,99.906,0.0031066772705444215,0.04384154326775123,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",10,26,0,"none,","cifar10,",las
45,93.41,93.94,0.0067565880208924605,0.769951087528769,98.986,99.89,0.003211881782588027,0.05201153664806824,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",23,56,1,"none,","cifar10,",las
46,92.7,93.94,0.007268634253429084,0.8137357853635957,98.966,99.886,0.0031959085351289693,0.05339125632082143,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",35,219,2,"none,","cifar10,",las
47,93.26,93.94,0.006542432752638301,0.7469963508693478,99.074,99.886,0.0031509003375687866,0.046380349866110386,50,0.001,False,50,50,128,128,ResNet18,ResNet101,PKT,"KD,T-8",46,239,3,"none,","cifar10,",las
