,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,train_batch_size,test_batch_size,student,teacher,distillation,transform,dataset,exp_name
0,83.93,93.94,3.196057525286569,255.04902803218818,85.848,90.59,0.011747276222290437,1.0260651656962416,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.1","cifar10,",kd_noise/0.1
1,90.23,93.94,0.011534740417441236,0.7452942131063606,89.012,90.556,0.005986359320542849,0.7033896615819248,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.1","cifar10,",kd_noise/0.1
2,76.79,93.94,30.81636541869633,1034.5880914828444,49.314,49.882,0.008075452750296239,5.234413834179149,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.2","cifar10,",kd_noise/0.2
3,85.97,93.94,0.02258651467818248,0.9505835288687597,50.058,50.17,0.005149073006771029,5.301940212469272,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.2","cifar10,",kd_noise/0.2
4,51.99,93.94,43.23099235897954,3357.456056136119,20.762,21.79,0.004659815393674099,12.917415874998284,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.30000000000000004","cifar10,",kd_noise/0.30000000000000004
5,75.9,93.94,0.047689678972657724,1.6507659358314322,21.202,21.774,0.0031632320166987073,13.012132100741882,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.30000000000000004","cifar10,",kd_noise/0.30000000000000004
6,24.22,93.94,142678235303.62097,11464500904098.885,11.998,12.562,0.0026567475831545794,22.15207273088148,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.4","cifar10,",kd_noise/0.4
7,48.83,93.94,0.10533372454250915,4.384484755841991,12.192,12.536,0.0018896553200929214,22.090728086583756,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.4","cifar10,",kd_noise/0.4
8,13.39,93.94,37459333794.27963,2980316927888.0576,10.194,10.396,0.0012542003998830629,30.067485848351208,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.5","cifar10,",kd_noise/0.5
9,31.95,93.94,0.14206403305258933,6.238848656038694,10.23,10.33,0.0009819347449504506,30.095162184342094,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.5","cifar10,",kd_noise/0.5
10,15.12,93.94,220281739.5978873,17927364522.57412,10.016,10.054,0.0006978101091241449,35.42959418138275,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.6000000000000001","cifar10,",kd_noise/0.6000000000000001
11,17.9,93.94,0.17135813945456396,9.283857351616968,10.016,10.046,0.000517174175269354,35.4477341254349,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.6000000000000001","cifar10,",kd_noise/0.6000000000000001
12,10.01,93.94,0.2280604814804053,16.905579313447205,10.004,10.032,0.00047751342269765866,38.445593246108736,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.7000000000000001","cifar10,",kd_noise/0.7000000000000001
13,12.52,93.94,0.2197281463613993,15.541860049283958,10.008,10.018,0.0003346068520873637,38.4805718346325,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.7000000000000001","cifar10,",kd_noise/0.7000000000000001
14,10.09,93.94,883112510454.7128,65419806370494.51,10.002,10.006,0.00040484319230073545,39.628383324274324,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.8","cifar10,",kd_noise/0.8
15,15.64,93.94,0.22014502011522463,14.467134560210795,10.006,10.016,0.0002994962393745656,39.71519739487592,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.8","cifar10,",kd_noise/0.8
16,9.99,93.94,0.2579694680775268,20.373325734198847,10.0,10.004,0.0003987912245986797,39.573083472678725,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,0.9","cifar10,",kd_noise/0.9
17,10.23,93.94,0.24457146265084231,19.546420254284822,10.008,10.008,0.00027716183673043776,39.625214042566014,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,0.9","cifar10,",kd_noise/0.9
18,10.0,93.94,2102.8272185778314,168109.99889706963,10.004,10.018,0.0004310534158370236,38.707170081565444,50,0.1,False,50,128,128,MobileNet,ResNet101,"KD,T-8","noise,1.0","cifar10,",kd_noise/1.0
19,10.22,93.94,0.30222923468939866,25.963887371594392,10.004,10.014,0.0003110398425642625,38.72388238736126,50,0.1,False,50,128,128,ResNet18,ResNet101,"KD,T-8","noise,1.0","cifar10,",kd_noise/1.0
