,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer
0,90.0,90.68,13.25408627986908,0.4138497947156429,97.584,98.298,2.1617105592166066,0.06724157570706457,92,0.01,False,100,50,128,100,MobileNet,ResNet101,PKT,KD-CE,55,239,3
1,90.06,90.68,13.52934114933014,0.42245359376072883,97.774,98.246,2.0670252449219793,0.06427931954460148,98,0.01,False,100,50,128,100,MobileNet,ResNet101,PKT,KD-CE,15,56,1
2,90.51,90.68,12.954027452468871,0.40449480555951595,97.732,98.268,2.0511030482361687,0.0637880972469859,99,0.01,False,100,50,128,100,MobileNet,ResNet101,PKT,KD-CE,6,26,0
3,90.36,90.68,12.794487719535828,0.3994065000116825,97.748,98.29,2.086726215946705,0.06483398832838096,92,0.01,False,100,50,128,100,MobileNet,ResNet101,PKT,KD-CE,26,219,2
4,88.17,90.68,150021.001640625,0.4151703187823296,91.81,98.248,104391.1728540601,0.25142612262531316,98,0.01,False,100,50,128,100,MobileNet,ResNet101,hint,KD-CE,55,239,3
5,87.3,90.68,30904748.28,0.39471531435847285,90.44,98.274,28425321.26342711,0.27623222558699606,99,0.01,False,100,50,128,100,MobileNet,ResNet101,hint,KD-CE,15,56,1
6,87.78,90.68,7025775.06,4.797380726337433,97.14,98.25,7251787.97314578,0.08175428785726695,80,0.01,False,100,50,128,100,MobileNet,ResNet101,hint,KD-CE,6,26,0
7,72.26,90.68,35593119600.64,9.88534254193306,72.294,98.204,33928758374.138107,0.782115292518645,99,0.01,False,100,50,128,100,MobileNet,ResNet101,hint,KD-CE,26,219,2
8,90.25,90.68,13.592583220005036,0.4242612674832344,97.692,98.162,2.0925812159886448,0.0649391768590721,95,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_linear,KD-CE,55,239,3
9,90.65,90.68,59.025122573375704,1.843691047653556,97.782,98.264,2.0244228982407115,0.06271753355603465,99,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_linear,KD-CE,15,56,1
10,90.28,90.68,39.48822480678558,1.233222913891077,97.758,98.162,2.080910261406008,0.06447878991589522,96,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_linear,KD-CE,6,26,0
11,90.23,90.68,13.38280445575714,0.41771309718489646,97.704,98.22,2.083730151319443,0.06464728451741245,70,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_linear,KD-CE,26,219,2
12,89.22,90.68,13.395900591163878,0.4098053167390216,96.98,98.294,2.7328337996131014,0.08484256092239828,89,0.01,False,100,50,64,64,MobileNet,ResNet101,nst_poly,"KDCE,T-8",55,239,3
13,90.15,90.68,12.857412734031676,0.3983019562065601,97.854,98.286,2.069290341547383,0.06273410750119507,86,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_poly,KD-CE,15,56,1
14,89.77,90.68,14.821170489788056,0.44585871424525975,97.806,98.174,2.333047101717166,0.06209545994125059,92,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_poly,KD-CE,6,26,0
15,89.79,90.68,14.090640382766724,0.43791088432073594,97.84,98.228,2.0186841913958644,0.06155189211049196,83,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_poly,KD-CE,26,219,2
16,89.97,90.68,2385.3182224607467,74.52683291077614,97.708,98.246,2.053984567180009,0.06378600207131233,87,0.01,False,100,50,128,100,MobileNet,ResNet101,att_max,KD-CE,55,239,3
17,90.1,90.68,11.860138673782348,0.3702794024348259,96.632,98.278,3.0325682684588617,0.09443791960949635,99,0.01,False,100,50,128,100,MobileNet,ResNet101,att_max,KD-CE,15,56,1
18,88.86,90.68,11.636523990631103,0.36331447124481203,93.808,98.212,5.68583073884325,0.17736175109434615,97,0.01,False,100,50,128,100,MobileNet,ResNet101,att_max,KD-CE,6,26,0
19,89.87,90.68,13.716367840766907,0.4282667736709118,97.696,98.176,2.117647696029195,0.06581987729629554,95,0.01,False,100,50,128,100,MobileNet,ResNet101,att_max,KD-CE,26,219,2
20,90.13,90.68,13.430521271228791,0.41922474540770055,97.62,98.346,2.142325544753648,0.06651984434336652,93,0.01,False,100,50,128,100,MobileNet,ResNet101,att_mean,KD-CE,55,239,3
21,88.57,90.68,12.106733236312866,0.3779679598659277,93.962,98.218,5.527982787402999,0.17241156360377435,90,0.01,False,100,50,128,100,MobileNet,ResNet101,att_mean,KD-CE,15,56,1
22,87.81,90.68,17.553228826522826,0.5481860473752022,97.796,98.272,1.9964461873864274,0.06204990315896547,69,0.01,False,100,50,128,100,MobileNet,ResNet101,att_mean,KD-CE,6,26,0
23,89.58,90.68,14.184845247268676,0.44275442242622376,97.772,98.252,1.963090079938969,0.060876030597569006,98,0.01,False,100,50,128,100,MobileNet,ResNet101,att_mean,KD-CE,26,219,2
