,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer
0,90.37,90.68,0.003338912456529215,0.5471856014057994,95.622,98.238,0.0018063657821806344,0.1660262427204634,90,0.01,False,100,50,128,100,MobileNet,ResNet101,PKT,"KD,T-8",55,239,3
1,90.41,90.68,0.0035970842756796627,0.5499944947659969,95.444,98.26,0.0018455320546436873,0.17713673928242815,95,0.01,False,100,50,128,100,MobileNet,ResNet101,PKT,"KD,T-8",15,56,1
2,90.34,90.68,0.0033115029451437294,0.5715994909405708,95.658,98.24,0.0017973440885365182,0.16504559994620435,92,0.01,False,100,50,128,100,MobileNet,ResNet101,PKT,"KD,T-8",6,26,0
3,90.17,90.68,0.00331338012823835,0.5882249256968498,95.598,98.25,0.0017946047968614627,0.1658803289089247,81,0.01,False,100,50,128,100,MobileNet,ResNet101,PKT,"KD,T-8",26,219,2
4,88.59,90.68,141351.08640625,0.6729159536957741,91.75,98.238,105205.9857936381,0.35464336187638285,99,0.01,False,100,50,128,100,MobileNet,ResNet101,hint,"KD,T-8",55,239,3
5,79.38,90.68,44802219.2,1.6130859190225602,86.49,98.262,31362871.38618926,0.6624324726860237,98,0.01,False,100,50,128,100,MobileNet,ResNet101,hint,"KD,T-8",15,56,1
6,76.28,90.68,231082871.36,1.392035392522812,78.534,98.302,256940489.82097188,1.1188307691108235,98,0.01,False,100,50,128,100,MobileNet,ResNet101,hint,"KD,T-8",6,26,0
7,75.83,90.68,27999892357.12,1.3398764967918395,75.942,98.284,25136954512.04092,1.2048487786746696,99,0.01,False,100,50,128,100,MobileNet,ResNet101,hint,"KD,T-8",26,219,2
8,90.66,90.68,0.004443725913297385,0.5474966637790203,95.146,98.248,0.0026248327201551487,0.1874065324854668,83,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_linear,"KD,T-8",55,239,3
9,90.36,90.68,0.00416769931325689,0.5382389949262142,95.552,98.308,0.0024982414287550714,0.1737489448169537,79,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_linear,"KD,T-8",15,56,1
10,90.28,90.68,0.004485756047070026,0.5872706945985555,95.174,98.17,0.002569557698157704,0.18758736493642372,90,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_linear,"KD,T-8",6,26,0
11,90.42,90.68,0.004500890832860023,0.5688749912381172,95.42,98.248,0.0026736603198272875,0.17992817699108893,99,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_linear,"KD,T-8",26,219,2
12,87.96,90.68,0.008205386213839623,0.6924799834467044,91.414,98.178,0.00623369516174802,0.3788739368986443,61,0.01,False,100,50,64,64,MobileNet,ResNet101,nst_poly,"KD,T-8",55,239,3
13,89.44,90.68,0.02575242429971695,0.6073445099592208,95.602,98.21,0.013890927197778468,0.16521504982505614,92,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_poly,"KD,T-8",15,56,1
14,89.34,90.68,0.2735668995976448,0.6664401294291019,94.854,98.226,0.16148912651307137,0.20049650686057022,96,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_poly,"KD,T-8",6,26,0
15,89.13,90.68,0.012961332146078348,0.6627756384015083,94.378,98.278,0.007253161907824867,0.22883497514878698,94,0.01,False,100,50,128,100,MobileNet,ResNet101,nst_poly,"KD,T-8",26,219,2
16,90.55,90.68,0.003843633679207414,0.5377225157618523,95.806,98.344,0.002201432262456802,0.1625988864771012,99,0.01,False,100,50,128,100,MobileNet,ResNet101,att_max,"KD,T-8",55,239,3
17,81.78,90.68,0.007364585571922362,1.0417354163527488,80.468,98.254,0.008709036634372705,1.0084728968265417,99,0.01,False,100,50,128,100,MobileNet,ResNet101,att_max,"KD,T-8",15,56,1
18,85.7,90.68,0.005268013102468103,0.7616751596331597,87.226,98.292,0.0052996044329431885,0.614519197884423,99,0.01,False,100,50,128,100,MobileNet,ResNet101,att_max,"KD,T-8",6,26,0
19,90.27,90.68,0.0039040413848124445,0.5399631376564503,95.562,98.284,0.002468328535630632,0.1728243694528747,91,0.01,False,100,50,128,100,MobileNet,ResNet101,att_max,"KD,T-8",26,219,2
20,90.32,90.68,0.004348929461557418,0.5634171125292778,95.884,98.188,0.002421351082687316,0.15250632344075785,94,0.01,False,100,50,128,100,MobileNet,ResNet101,att_mean,"KD,T-8",55,239,3
21,90.35,90.68,0.0035149600636214017,0.546412250995636,95.506,98.284,0.0019775395617460654,0.1730632169119766,97,0.01,False,100,50,128,100,MobileNet,ResNet101,att_mean,"KD,T-8",15,56,1
22,90.32,90.68,0.003420096195768565,0.5632232084870339,95.482,98.226,0.0018728414277696167,0.17671667875440986,96,0.01,False,100,50,128,100,MobileNet,ResNet101,att_mean,"KD,T-8",6,26,0
23,89.8,90.68,0.00543530322611332,0.6210538630187511,95.43,98.244,0.0033480258744276697,0.1737711988580044,93,0.01,False,100,50,128,100,MobileNet,ResNet101,att_mean,"KD,T-8",26,219,2
