,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,layer,lambda
0,91.56,90.68,0.002754890917567536,0.42288125403225424,97.356,98.244,0.0012680593862548432,0.08825901136412036,94,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,4,
1,91.32,90.68,0.002863788524409756,0.44334688544273376,97.136,98.176,0.001294470811679559,0.0910225321569711,97,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,3,
2,91.93,90.68,0.0027841241669375448,0.4250109221041203,97.45,98.216,0.001206720424869605,0.08006419898832545,111,0.1,True,100,50,128,100,ResNet18,ResNet101,PKT,5,
3,91.69,90.68,0.002633350371615961,0.44670670479536057,97.252,98.234,0.0012766684539785222,0.08940529157324216,97,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,2,
4,91.42,90.68,0.00489145240473567,0.46665126569331833,96.904,98.25,0.0028565366209968163,0.10336693642599046,90,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_linear,4,
5,90.0,90.68,0.009014511044926135,0.5449036744179999,94.562,98.322,0.006605168322787222,0.19935833422176522,99,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_linear,3,
6,91.29,90.68,0.0029054547783883087,0.44011714781640443,97.072,98.234,0.001421885434067701,0.09683068882426261,83,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_linear,5,
7,88.85,90.68,0.033996732763139303,0.6305951391625556,94.72,98.266,0.023487344886774144,0.19831069523844955,96,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_linear,2,
8,89.72,90.68,56.20999706268311,0.5471207973361015,97.348,98.112,52.95156081802095,0.08596940523446978,76,0.1,False,100,50,128,100,ResNet18,ResNet101,hint,3,1.0
9,89.61,90.68,865.1066143798828,0.5941560496389866,94.776,98.24,759.9881495014786,0.19602067470359985,97,0.1,False,100,50,128,100,ResNet18,ResNet101,hint,4,1.0
10,91.53,90.68,0.0031227675569243728,0.43772932291030886,97.126,98.254,0.0015127703955675692,0.09561060463576138,97,0.1,False,100,50,128,100,ResNet18,ResNet101,hint,5,1.0
