,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,layer
0,7.2,90.68,677.7027404785156,9.883765120506286,10.034,9.992,845.6556323897809,2.5541972638396047,0,0.1,False,100,50,128,100,ResNet18,ResNet101,feature-1-2,,
1,10.06,90.68,4.409159891605377,345.87299896240233,10.0,9.998,0.00033212492242157743,12.940195347037157,11,0.1,False,15,50,128,100,ResNet18,ResNet101,PKT,KD_CE,4
2,8.33,90.68,1.7105624997615814,141.54490783691406,10.0,10.0,0.0003177040786383545,12.943537199893571,12,0.1,False,15,50,128,100,ResNet18,ResNet101,PKT,KD_CE,3
3,9.92,90.68,4.188127789497376,349.9886492919922,10.0,10.0,0.0002505569637644693,12.96994890032522,7,0.1,False,15,50,128,100,ResNet18,ResNet101,PKT,KD_CE,5
4,8.12,90.68,0.8659277099370957,79.54547996520996,10.0,10.004,0.0004973628431233479,12.9398353947398,9,0.1,False,15,50,128,100,ResNet18,ResNet101,PKT,KD_CE,2
5,8.25,90.68,2.499622823326451,216.3743505781623,10.0,10.0,0.00035031287550695163,12.978363966393044,0,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,4
6,10.21,90.68,0.6173398728203622,43.71872101316027,10.0,10.0,0.004608290894623951,12.970457405080575,14,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,3
7,10.15,90.68,5.360547847808546,457.0472519018088,10.0,10.0,0.00014281884871583726,12.971247137659956,12,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,5
8,7.9,90.68,4.060998553683044,284.50837600610816,10.0,10.002,0.015668313924099325,12.969503618567192,1,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_linear,KD_CE,2
9,10.95,90.68,0.19672983894302587,14.721684577358756,10.0,10.0,0.0023206208806956555,12.96579434377763,13,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,4
10,10.02,90.68,6.682787697785979,500.14765842705015,10.0,10.0,0.09263209523180561,12.96736716126542,14,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,3
11,8.14,90.68,1.3500151322905425,115.84632922130025,10.0,10.002,0.00010912097062446776,12.977980033211086,3,0.1,False,15,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,5
12,10.0,90.68,28.254843158721926,1634.011173095703,10.0,10.002,0.5804580703110951,12.94378232590073,10,0.1,False,15,50,128,100,ResNet18,ResNet101,nst_poly,KD_CE,2
13,10.0,90.68,0.10319295778870582,10.690781383514404,10.0,10.0,0.00029046460658626255,12.969593162731746,9,0.1,False,15,50,128,100,ResNet18,ResNet101,att_max,KD_CE,4
14,10.0,90.68,0.11138958580791951,11.90957862854004,10.0,10.0,0.00047592553713530437,12.94952436725197,13,0.1,False,15,50,128,100,ResNet18,ResNet101,att_max,KD_CE,3
15,10.0,90.68,0.7751114732027053,67.35607093811035,10.0,10.0,0.0005725435500242807,12.96689167169049,10,0.1,False,15,50,128,100,ResNet18,ResNet101,att_max,KD_CE,5
16,10.04,90.68,6.989231557846069,540.3856280517579,10.0,10.004,0.00023209064698104015,12.963380418470143,14,0.1,False,15,50,128,100,ResNet18,ResNet101,att_max,KD_CE,2
17,9.77,90.68,0.11252562940120697,13.105024309158326,10.0,10.0,0.00018748685711925692,12.97064055323296,9,0.1,False,15,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,4
18,9.69,90.68,0.49381345361471174,47.552572898864746,10.0,10.0,0.0003434201560529244,12.95554440832504,14,0.1,False,15,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,3
19,10.0,90.68,12.521917953491212,954.6107214355469,10.0,10.0,0.0004699298363301636,12.948986336398308,13,0.1,False,15,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,5
20,10.0,90.68,23.41174620628357,1929.038048095703,10.0,10.0,0.0005136515521366969,12.935296280609677,12,0.1,False,15,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,2
