,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,layer
0,88.17,90.68,13.254450445175172,0.41382797837257385,93.402,98.224,6.27240089382357,0.19566058190277472,95,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,KD_CE,4
1,58.75,90.68,36.721675395965576,1.1469627052545548,54.854,98.352,40.1065352652079,1.252694476291042,99,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,KD_CE,3
2,91.17,90.68,13.608563687801361,0.42487112790346143,98.184,98.264,1.804074669623619,0.05595857147460856,92,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,KD_CE,5
3,78.02,90.68,21.551664686203004,0.6730824142694474,80.482,98.196,18.46162815045213,0.5764992981005812,99,0.1,False,100,50,128,100,ResNet18,ResNet101,PKT,KD_CE,2
4,44.84,90.68,48.8108108215332,1.5244999271392823,43.302,98.334,46.54232722961426,1.4535719983196258,13,0.1,False,100,50,8,8,ResNet18,ResNet101,nst_gauss,KD_CE,2
5,90.13,90.68,17.23380694723433,0.5366972527069271,97.604,98.25,2.370129554129927,0.07235921823057583,77,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,4
6,90.34,90.68,16.515676492718374,0.51232120741135,98.006,98.364,2.1094511544327146,0.062490063203770256,84,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,3
7,90.13,90.68,15.007977621570515,0.4685730490192866,98.312,98.194,1.6706964523981676,0.051830755498455575,82,0.1,False,100,50,64,64,ResNet18,ResNet101,nst_poly,KD_CE,5
8,90.27,90.68,16.924338088035583,0.4998141214251518,98.39,98.26,2.175264100589411,0.05070341294369353,79,0.1,False,100,50,128,100,ResNet18,ResNet101,nst_poly,KD_CE,2
9,89.67,90.68,13.788885345458985,0.4304837213456631,97.998,98.256,1.9966310803275888,0.06194932152614798,96,0.1,False,100,50,128,100,ResNet18,ResNet101,att_max,KD_CE,4
10,89.57,90.68,16.90009826183319,0.5276359003782273,98.398,98.31,1.6529963662671616,0.05123100427153242,86,0.1,False,100,50,128,100,ResNet18,ResNet101,att_max,KD_CE,3
11,88.36,90.68,20.52482394695282,0.6386803537607193,97.944,98.262,2.0846495320043905,0.06245279638692165,93,0.1,False,100,50,128,100,ResNet18,ResNet101,att_max,KD_CE,5
12,89.59,90.68,15.78274393081665,0.4927814611792564,98.026,98.254,1.9241207432373406,0.05973201980361777,84,0.1,False,100,50,128,100,ResNet18,ResNet101,att_max,KD_CE,2
13,77.4,90.68,21.950830869674682,0.6852779310941696,79.72,98.2,19.10695206234827,0.5964470653582716,99,0.1,False,100,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,4
14,80.93,90.68,19.17288061141968,0.5987355560064316,84.22,98.18,15.04187960027124,0.46964738618992175,99,0.1,False,100,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,3
15,54.8,90.68,44.32429229736328,1.3819472301006317,57.856,98.28,37.61776702178409,1.1722217417129166,99,0.1,False,100,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,5
16,46.06,90.68,47.243713569641116,1.4756709337234497,42.506,98.234,49.6374709185432,1.550457673304526,99,0.1,False,100,50,128,100,ResNet18,ResNet101,att_mean,KD_CE,2
