,Unnamed: 0,distillation,epoch,epochs,lambda,last_layer,layer,lr,pre,resume,student,student_layer,teacher,teacher_layer,test_acc,test_batch_size,test_eval,test_loss,test_teacher/acc,train_acc,train_batch_size,train_eval,train_loss,train_teacher/acc
0,0,PKT,90,100,1.0,KD,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,90.37,100,0.5471856014057994,0.003338912456529215,90.68,95.62200000000001,128,0.1660262427204634,0.0018063657821806344,98.238
1,1,PKT,95,100,1.0,KD,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,90.41,100,0.5499944947659969,0.003597084275679663,90.68,95.444,128,0.17713673928242815,0.0018455320546436876,98.26
2,2,PKT,92,100,1.0,KD,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,90.34,100,0.5715994909405708,0.003311502945143729,90.68,95.65799999999999,128,0.16504559994620435,0.0017973440885365184,98.24
3,3,PKT,81,100,1.0,KD,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,90.17,100,0.5882249256968498,0.00331338012823835,90.68,95.598,128,0.1658803289089247,0.0017946047968614629,98.25
4,4,hint,99,100,1.0,KD,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,88.59,100,0.6729159536957741,141351.08640625,90.68,91.75,128,0.35464336187638285,105205.9857936381,98.238
5,5,hint,98,100,1.0,KD,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,79.38,100,1.6130859190225602,44802219.2,90.68,86.49,128,0.6624324726860237,31362871.38618926,98.262
6,6,hint,98,100,1.0,KD,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,76.28,100,1.392035392522812,231082871.36,90.68,78.53399999999999,128,1.1188307691108237,256940489.82097188,98.302
7,7,hint,99,100,1.0,KD,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,75.83,100,1.3398764967918395,27999892357.12,90.68,75.942,128,1.2048487786746696,25136954512.04092,98.28399999999999
8,8,nst_linear,83,100,1.0,KD,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,90.66,100,0.5474966637790203,0.004443725913297386,90.68,95.146,128,0.1874065324854668,0.0026248327201551487,98.24799999999999
9,9,nst_linear,79,100,1.0,KD,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,90.36,100,0.5382389949262142,0.00416769931325689,90.68,95.552,128,0.1737489448169537,0.0024982414287550714,98.30799999999999
10,10,nst_linear,90,100,1.0,KD,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,90.28,100,0.5872706945985555,0.004485756047070025,90.68,95.17399999999999,128,0.18758736493642367,0.002569557698157704,98.17
11,11,nst_linear,99,100,1.0,KD,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,90.42,100,0.5688749912381172,0.004500890832860023,90.68,95.42,128,0.17992817699108893,0.0026736603198272875,98.24799999999999
12,12,nst_poly,61,100,1.0,KD,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,87.96,64,0.6924799834467044,0.008205386213839623,90.68,91.414,64,0.3788739368986443,0.00623369516174802,98.178
13,13,nst_poly,92,100,1.0,KD,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,89.44,100,0.6073445099592208,0.02575242429971695,90.68,95.602,128,0.16521504982505614,0.013890927197778468,98.21
14,14,nst_poly,96,100,1.0,KD,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,89.34,100,0.6664401294291019,0.2735668995976448,90.68,94.854,128,0.20049650686057024,0.16148912651307135,98.226
15,15,nst_poly,94,100,1.0,KD,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,89.13,100,0.6627756384015083,0.012961332146078348,90.68,94.37799999999999,128,0.22883497514878695,0.0072531619078248675,98.27799999999999
16,16,att_max,99,100,1.0,KD,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,90.55,100,0.5377225157618523,0.003843633679207414,90.68,95.806,128,0.1625988864771012,0.002201432262456802,98.344
17,17,att_max,99,100,1.0,KD,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,81.78,100,1.0417354163527488,0.007364585571922363,90.68,80.468,128,1.0084728968265415,0.008709036634372705,98.25399999999999
18,18,att_max,99,100,1.0,KD,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,85.7,100,0.7616751596331597,0.005268013102468103,90.68,87.226,128,0.614519197884423,0.005299604432943189,98.292
19,19,att_max,91,100,1.0,KD,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,90.27,100,0.5399631376564503,0.0039040413848124454,90.68,95.56200000000001,128,0.1728243694528747,0.002468328535630632,98.28399999999999
20,20,att_mean,94,100,1.0,KD,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,90.32,100,0.5634171125292778,0.004348929461557418,90.68,95.884,128,0.15250632344075785,0.002421351082687316,98.18799999999999
21,21,att_mean,97,100,1.0,KD,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,90.35,100,0.546412250995636,0.0035149600636214017,90.68,95.506,128,0.1730632169119766,0.0019775395617460654,98.28399999999999
22,22,att_mean,96,100,1.0,KD,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,90.32,100,0.5632232084870339,0.0034200961957685646,90.68,95.48200000000001,128,0.17671667875440986,0.0018728414277696167,98.226
23,23,att_mean,93,100,1.0,KD,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,89.8,100,0.6210538630187511,0.005435303226113321,90.68,95.43,128,0.1737711988580044,0.0033480258744276697,98.244
0,0,PKT,92,100,1.0,KD-CE,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,90.0,100,0.4138497947156429,13.25408627986908,90.68,97.584,128,0.06724157570706457,2.1617105592166066,98.29799999999999
1,1,PKT,98,100,1.0,KD-CE,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,90.06,100,0.4224535937607288,13.529341149330142,90.68,97.774,128,0.06427931954460148,2.0670252449219797,98.24600000000001
2,2,PKT,99,100,1.0,KD-CE,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,90.51,100,0.404494805559516,12.954027452468871,90.68,97.73200000000001,128,0.0637880972469859,2.0511030482361687,98.26799999999999
3,3,PKT,92,100,1.0,KD-CE,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,90.36,100,0.3994065000116825,12.794487719535828,90.68,97.74799999999999,128,0.06483398832838096,2.086726215946705,98.29
4,4,hint,98,100,1.0,KD-CE,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,88.17,100,0.4151703187823296,150021.001640625,90.68,91.81,128,0.2514261226253132,104391.1728540601,98.24799999999999
5,5,hint,99,100,1.0,KD-CE,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,87.3,100,0.3947153143584729,30904748.28,90.68,90.44,128,0.2762322255869961,28425321.26342711,98.274
6,6,hint,80,100,1.0,KD-CE,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,87.78,100,4.797380726337433,7025775.06,90.68,97.14,128,0.08175428785726695,7251787.97314578,98.25
7,7,hint,99,100,1.0,KD-CE,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,72.26,100,9.885342541933062,35593119600.64,90.68,72.294,128,0.7821152925186451,33928758374.138107,98.204
8,8,nst_linear,95,100,1.0,KD-CE,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,90.25,100,0.4242612674832344,13.592583220005036,90.68,97.69200000000001,128,0.0649391768590721,2.0925812159886448,98.162
9,9,nst_linear,99,100,1.0,KD-CE,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,90.65,100,1.843691047653556,59.025122573375704,90.68,97.78200000000001,128,0.06271753355603465,2.0244228982407115,98.264
10,10,nst_linear,96,100,1.0,KD-CE,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,90.28,100,1.2332229138910773,39.48822480678558,90.68,97.758,128,0.06447878991589523,2.080910261406008,98.162
11,11,nst_linear,70,100,1.0,KD-CE,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,90.23,100,0.4177130971848965,13.38280445575714,90.68,97.704,128,0.06464728451741245,2.083730151319443,98.22
12,12,nst_poly,89,100,1.0,KD-CE,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,89.22,64,0.4098053167390216,13.395900591163876,90.68,96.98,64,0.08484256092239828,2.7328337996131014,98.294
13,13,nst_poly,86,100,1.0,KD-CE,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,90.15,100,0.3983019562065601,12.857412734031675,90.68,97.854,128,0.06273410750119507,2.069290341547383,98.286
14,14,nst_poly,92,100,1.0,KD-CE,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,89.77,100,0.44585871424525975,14.821170489788056,90.68,97.806,128,0.06209545994125059,2.333047101717166,98.17399999999999
15,15,nst_poly,83,100,1.0,KD-CE,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,89.79,100,0.437910884320736,14.090640382766724,90.68,97.84,128,0.06155189211049196,2.0186841913958644,98.228
16,16,att_max,87,100,1.0,KD-CE,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,89.97,100,74.52683291077614,2385.318222460747,90.68,97.708,128,0.06378600207131233,2.053984567180009,98.24600000000001
17,17,att_max,99,100,1.0,KD-CE,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,90.1,100,0.3702794024348259,11.860138673782348,90.68,96.632,128,0.09443791960949637,3.0325682684588617,98.27799999999999
18,18,att_max,97,100,1.0,KD-CE,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,88.86,100,0.363314471244812,11.636523990631106,90.68,93.80799999999999,128,0.17736175109434615,5.68583073884325,98.212
